grid_points, number_of_observations, analysis_value
[8, 0],14.0,5232.817422229491
[8, 1],13.0,5245.030765020185
[8, 2],14.0,5257.522265422906
[8, 3],16.0,5286.106694722583
[8, 4],17.0,5312.4728198209905
[8, 5],19.0,5349.148423551338
[8, 6],23.0,5364.62207279187
[8, 7],28.0,5398.571731686892
[8, 8],29.0,5416.499883613753
[8, 9],29.0,5421.012691118218
[8, 10],32.0,5418.12046075886
[8, 11],32.0,5429.268716148253
[8, 12],38.0,5420.380332034294
[8, 13],38.0,5418.716729795803
[8, 14],36.0,5415.370106888511
[8, 15],35.0,5426.236882511583
[8, 16],38.0,5436.147233377986
[8, 17],32.0,5450.8723975869925
[8, 18],29.0,5476.050260466903
[8, 19],27.0,5509.75450065621
[8, 20],23.0,5548.249074508628
[8, 21],18.0,5589.006046290627
[9, 0],12.0,5234.650322509304
[9, 1],13.0,5248.732897624364
[9, 2],16.0,5272.0985270388865
[9, 3],16.0,5301.825908629347
[9, 4],18.0,5322.497963385409
[9, 5],18.0,5356.859451478829
[9, 6],22.0,5393.785486296789
[9, 7],26.0,5415.408475435612
[9, 8],29.0,5438.159644882724
[9, 9],30.0,5448.10461301049
[9, 10],31.0,5444.156923464561
[9, 11],33.0,5443.844654544939
[9, 12],39.0,5435.668900143384
[9, 13],35.0,5437.107517207862
[9, 14],35.0,5430.187080827502
[9, 15],37.0,5428.265848455072
[9, 16],36.0,5441.802735158736
[9, 17],31.0,5451.5271404432315
[9, 18],30.0,5477.771556701713
[9, 19],28.0,5502.0675590395595
[9, 20],25.0,5538.958319386841
[9, 21],24.0,5571.773100571751
[10, 0],12.0,5234.771859536248
[10, 1],13.0,5243.663659702041
[10, 2],14.0,5271.552191797189
[10, 3],16.0,5314.258864919486
[10, 4],18.0,5353.5104396796505
[10, 5],21.0,5385.800603942225
[10, 6],23.0,5419.802717652796
[10, 7],26.0,5438.649310532786
[10, 8],30.0,5456.012537958799
[10, 9],29.0,5470.536963890906
[10, 10],33.0,5476.469547521159
[10, 11],37.0,5469.014198784133
[10, 12],38.0,5466.783216705736
[10, 13],37.0,5459.826918924208
[10, 14],41.0,5460.177383558699
[10, 15],40.0,5447.642087118378
[10, 16],40.0,5455.168987348638
[10, 17],39.0,5466.518690323444
[10, 18],35.0,5483.052652867285
[10, 19],32.0,5510.387041397177
[10, 20],27.0,5540.245130990268
[10, 21],24.0,5578.093851800555
[11, 0],14.0,5244.952617043602
[11, 1],14.0,5241.235709482085
[11, 2],15.0,5282.813252228369
