grid_point, analysis_value, analysis_increment
grid_point, analysis_value, analysis_increment
grid_point, analysis_value, analysis_increment
[3, 11],5438.814371442636,-8.109881949366354
[3, 12],5455.910374700182,0.9844508624437367
[3, 13],5455.9536528552335,-9.254454146460375
[3, 14],5483.216853599956,4.048111833766598
[3, 15],5519.012847320552,20.973338716973558
[3, 16],5551.252595025375,27.72267172350803
[3, 17],5552.99981725855,-1.8794836432734883
[3, 18],5616.048070638564,31.44970350463518
[3, 19],5637.861726726689,31.938550869112078
[3, 20],5648.695659339157,29.94717617725655
[3, 21],5651.691345916003,25.925423266378857
[4, 0],5236.083098667273,-29.38438598072662
[4, 1],5245.1172432251005,-28.8496684233005
[4, 2],5256.03649176625,-30.32796497373056
[4, 3],5277.155913174141,-29.46816084776401
[4, 4],5318.876088957879,-14.180381365018548
[4, 5],5356.030535984459,-1.7134105524519327
[4, 6],5375.652467670677,-1.2640595607399518
[4, 7],5384.128663790951,-8.835275133885261
[4, 8],5389.958784460206,-15.872192396441278
[4, 9],5391.080038478482,-23.01967181249256
[4, 10],5393.9728681773195,-25.830255159326043
[4, 11],5398.032170805286,-27.456334278197573
[4, 12],5404.836156418403,-27.556720713636423
[4, 13],5413.174166271789,-28.27106145167636
[4, 14],5446.27492669356,-7.747414320779171
[4, 15],5469.524962754229,-2.803165559575973
[4, 16],5478.978124862039,-19.85588582517721
[4, 17],5510.016048106332,-21.818508056707287
[4, 18],5560.548501576775,-2.9528558155798237
[4, 19],5614.795568950526,27.244986520095154
[4, 20],5628.556250064082,25.454241631986406
[4, 21],5633.947340983515,21.952070481520423
[5, 0],5220.061260978861,-28.852451138959623
[5, 1],5228.787510460403,-28.096163102844912
[5, 2],5239.583833122235,-29.45242058857184
[5, 3],5262.370609372297,-28.53693926613869
[5, 4],5311.269235794697,-9.909586283199133
[5, 5],5350.975822518551,1.738262159513397
[5, 6],5371.857653793392,2.1538587127370192
[5, 7],5378.813143518756,-7.131642927600296
[5, 8],5379.97083867292,-18.52161478774724
[5, 9],5386.480187163158,-19.53729310188828
[5, 10],5391.585663984958,-19.03718391379516
[5, 11],5387.86446245156,-27.22629437399155
[5, 12],5392.219961812688,-28.457861464436064
[5, 13],5398.623339075505,-29.27241243705521
[5, 14],5412.634726867773,-25.48318412219578
[5, 15],5439.992465375686,-14.291377570492841
[5, 16],5442.7753540178255,-36.386174357185155
