grid_point, analysis_value, analysis_increment
[0, 0],5321.359231031822,3.175816817710256
[0, 1],5347.081678978783,12.143168976620473
[0, 2],5372.244590459767,19.213104810301047
[0, 3],5392.690107812521,17.646630336781527
[0, 4],5422.709375293833,25.431724011079496
[0, 5],5449.5126725153505,32.51373117285584
[0, 6],5473.258666526097,38.50205531375377
[0, 7],5490.101417048666,40.155622599186245
[0, 8],5501.198369113356,39.82458838207276
[0, 9],5509.740919614559,39.53079496343071
[0, 10],5516.565414941922,37.27248847080773
[0, 11],5530.24322559986,39.849871310310846
[0, 12],5551.751486547459,47.75546816883434
[0, 13],5576.635298902036,55.67176374149494
[0, 14],5602.349308020242,61.28069175822293
[0, 15],5627.985896821596,67.24932724949122
[0, 16],5647.068908139287,69.67283277755178
[0, 17],5661.18987498394,68.23503849639746
[0, 18],5674.373874621658,65.09603290381892
[0, 19],5681.628315680377,58.24308639577066
[0, 20],5683.379000450691,51.27794363947487
[0, 21],5679.729874632249,43.37170407621488
[1, 0],5298.084440254935,-6.884462244048336
[1, 1],5324.823129103866,2.179956007656074
[1, 2],5341.554391549751,1.1923410343197247
[1, 3],5362.380289995076,1.0897190199566467
[1, 4],5391.795892005841,8.056836744322936
[1, 5],5419.74158394176,14.733918312852438
[1, 6],5445.608985460906,20.941307758258517
[1, 7],5465.015345871523,23.040559902846326
[1, 8],5478.485910349342,23.28296222626068
[1, 9],5487.390699674571,22.617893182069565
[1, 10],5497.287457423083,23.78985997095242
[1, 11],5509.852340828228,26.41106821854828
[1, 12],5527.962780841595,32.683111161714805
[1, 13],5555.491609161582,45.58274855471518
[1, 14],5579.536222989767,51.852862247736084
[1, 15],5605.961327096817,59.21081694913573
[1, 16],5626.586316959719,60.71174873938071
[1, 17],5647.339590454602,60.98284369071098
[1, 18],5664.395375119375,57.49359946479399
[1, 19],5677.72665412229,55.387260357462765
[1, 20],5683.108546500015,52.01785158771327
[1, 21],5682.351526354632,46.963853658973676
[2, 0],5275.181496099555,-15.585138446329438
[2, 1],5293.236800003936,-13.365208915631229
[2, 2],5308.891674180678,-13.830837683327445
[2, 3],5327.363008680576,-15.350761496516498
[2, 4],5357.267367823272,-8.657978204782012
[2, 5],5387.447089055822,-1.2393864881050831
[2, 6],5414.025300693066,4.446081854471231
[2, 7],5435.6558883987855,7.30028090063297
[2, 8],5446.732815302093,3.8098894232171006
[2, 9],5457.853051001279,5.126515970843684
[2, 10],5466.556706659936,5.931610214619468
[2, 11],5475.856773485121,6.831120103801368
[2, 12],5491.027107914346,12.258767183278906
[2, 13],5515.498917690927,24.623415774389287
[2, 14],5538.524800591589,32.15816449795784
[2, 15],5562.21887742116,37.0772103236086
[2, 16],5588.340902612502,40.80226569079423
[2, 17],5617.949666150457,44.0705342255842
